"method","lma","gradient"
"deep-crown",0.065,437.771140544695
"deep-crown",0.0675,410.864455735571
"deep-crown",0.07,382.640173216073
"deep-crown",0.0725,353.447670624567
"deep-crown",0.075,323.17477915071
"deep-crown",0.0775,292.22979527758
"deep-crown",0.08,260.725008093918
"deep-crown",0.0825,228.990567211753
"deep-crown",0.085,197.131616874424
"deep-crown",0.0875,165.237640801492
"deep-crown",0.09,133.407553687219
"deep-crown",0.0925,101.820843646811
"deep-crown",0.095,70.5116062162257
"deep-crown",0.0975,39.4738193758196
"deep-crown",0.1,8.86788256641601
"deep-crown",0.1025,-21.1823118508098
"deep-crown",0.105,-50.7816156065845
"deep-crown",0.1075,-79.7670833103099
"deep-crown",0.11,-108.244900134181
"deep-crown",0.1125,-136.019068355445
"deep-crown",0.115,-163.188575008735
"deep-crown",0.1175,-189.79883392056
"deep-crown",0.12,-215.79997604319
"deep-crown",0.1225,-241.262069985639
"deep-crown",0.125,-266.056072850046
"mean-light",0.065,496.548551606196
"mean-light",0.0675,466.630846516619
"mean-light",0.07,433.998760996437
"mean-light",0.0725,399.123429985324
"mean-light",0.075,362.49883677384
"mean-light",0.0775,324.538745924136
"mean-light",0.08,285.425918499724
"mean-light",0.0825,245.550737307327
"mean-light",0.085,205.109718740632
"mean-light",0.0875,164.307817458369
"mean-light",0.09,123.385410745798
"mean-light",0.0925,82.4997157025215
"mean-light",0.095,41.7592356826582
"mean-light",0.0975,1.27215428420156
"mean-light",0.1,-38.8799471451347
"mean-light",0.1025,-78.621578772625
"mean-light",0.105,-117.920683099877
"mean-light",0.1075,-156.716080667274
"mean-light",0.11,-195.128215230327
"mean-light",0.1125,-232.980248577677
"mean-light",0.115,-270.231205885455
"mean-light",0.1175,-306.923360628688
"mean-light",0.12,-343.195836032467
"mean-light",0.1225,-378.996048097004
"mean-light",0.125,-414.176341645256
"crown-centre",0.065,571.198800733745
"crown-centre",0.0675,531.33459909488
"crown-centre",0.07,487.502304950506
"crown-centre",0.0725,439.978173971398
"crown-centre",0.075,389.393440011918
"crown-centre",0.0775,336.57856491247
"crown-centre",0.08,281.854047382494
"crown-centre",0.0825,226.088100220425
"crown-centre",0.085,169.464503350498
"crown-centre",0.0875,112.354577953892
"crown-centre",0.09,54.8140339231666
"crown-centre",0.0925,-2.46880643328986
"crown-centre",0.095,-59.1504706681603
"crown-centre",0.0975,-115.444935902552
"crown-centre",0.1,-171.05853918809
"crown-centre",0.1025,-225.728795272576
"crown-centre",0.105,-279.560679759986
"crown-centre",0.1075,-332.397369386338
"crown-centre",0.11,-384.173884234908
"crown-centre",0.1125,-434.686006529033
"crown-centre",0.115,-484.152764845869
"crown-centre",0.1175,-532.73823148175
"crown-centre",0.12,-579.874724555351
"crown-centre",0.1225,-626.179994588755
"crown-centre",0.125,-671.011506671583
"flat-top-soft-box",0.065,717.936647686342
"flat-top-soft-box",0.0675,662.181934628022
"flat-top-soft-box",0.07,600.047786468754
"flat-top-soft-box",0.0725,532.721221078313
"flat-top-soft-box",0.075,461.578712422388
"flat-top-soft-box",0.0775,387.626835989073
"flat-top-soft-box",0.08,312.078742472986
"flat-top-soft-box",0.0825,235.498080427862
"flat-top-soft-box",0.085,158.457881572255
"flat-top-soft-box",0.0875,81.0452818732868
"flat-top-soft-box",0.09,3.66740980570061
"flat-top-soft-box",0.0925,-73.4737343623431
"flat-top-soft-box",0.095,-150.600315608669
"flat-top-soft-box",0.0975,-227.670056127177
"flat-top-soft-box",0.1,-304.591874398559
"flat-top-soft-box",0.1025,-381.592529440292
"flat-top-soft-box",0.105,-458.84266929287
"flat-top-soft-box",0.1075,-536.629861181346
"flat-top-soft-box",0.11,-615.054226186487
"flat-top-soft-box",0.1125,-694.197815131658
"flat-top-soft-box",0.115,-774.078609700791
"flat-top-soft-box",0.1175,-854.83040288421
"flat-top-soft-box",0.12,-936.927049768943
"flat-top-soft-box",0.1225,-1019.95855797999
"flat-top-soft-box",0.125,-1103.9979727801
"ppa",0.065,3461.39331231817
"ppa",0.0675,2947.25977318035
"ppa",0.07,3119.04149487309
"ppa",0.0725,2652.61678819198
"ppa",0.075,2728.59178948412
"ppa",0.0775,2452.31246013408
"ppa",0.08,2648.06634336666
"ppa",0.0825,1098.37124833015
"ppa",0.085,275.9777469043
"ppa",0.0875,-309.850343260255
"ppa",0.09,-2344.39325027867
"ppa",0.0925,-2648.93111036494
"ppa",0.095,-3310.63829550778
"ppa",0.0975,-3702.67140765869
"ppa",0.1,-3908.34936712438
"ppa",0.1025,-3973.31480968094
"ppa",0.105,-4059.43128115274
"ppa",0.1075,-4101.81765687474
"ppa",0.11,-4220.21854575926
"ppa",0.1125,-2586.5585696506
"ppa",0.115,-2347.60564700287
"ppa",0.1175,-4072.02669199946
"ppa",0.12,-4108.94040231693
"ppa",0.1225,-499.594062516407
"ppa",0.125,-541.108865302909
