"method","lma_star","well_defined","n_crossings","robust","curvature","class"
"deep-crown",0.10073275583972,TRUE,1,TRUE,-12477.0908094413,"CSS"
"mean-light",0.0975792084498018,TRUE,1,TRUE,-17176.0992420239,"CSS"
"crown-centre",0.0923922536654115,TRUE,1,TRUE,-20662.8474866554,"CSS"
"flat-top-soft-box",0.090118853882881,TRUE,1,TRUE,-30827.6456078957,"CSS"
"ppa",0.0859404693156308,TRUE,1,FALSE,-249808.857119218,"CSS"
