
mutant: step time 69.6319; mutant: etime 69.5149; index 2
mutant: step time 69.7184; mutant: etime 69.7228; index 3
mutant: step time 69.6913; mutant: etime 70; index 4
mutant: step time 69.7184; mutant: etime 69.9134; index 5
mutant: step time 69.7616; mutant: etime 69.307; index 0
mutant: step time 69.7832; mutant: etime 69.4456; index 1
mutant: step time 69.848; mutant: etime 69.5149; index 2
mutant: step time 69.9345; mutant: etime 69.7228; index 3
mutant: step time 69.9075; mutant: etime 70; index 4
mutant: step time 69.9345; mutant: etime 69.9134; index 5
mutant: step time 69.9476; mutant: etime 69.307; index 0
mutant: step time 69.9541; mutant: etime 69.4456; index 1
mutant: step time 69.9738; mutant: etime 69.5149; index 2
mutant: step time 70; mutant: etime 69.7228; index 3
mutant: step time 69.9918; mutant: etime 70; index 4
mutant: step time 70; mutant: etime 69.9134; index 5
mutant: step time 70.0432; mutant: etime 71.307; index 0
mutant: step time 70.0648; mutant: etime 71.4456; index 1
mutant: step time 70.1297; mutant: etime 71.5149; index 2
mutant: step time 70.2161; mutant: etime 71.7228; index 3
mutant: step time 70.1891; mutant: etime 72; index 4
mutant: step time 70.2161; mutant: etime 71.9134; index 5
mutant: step time 70.0373; mutant: etime 71.307; index 0
mutant: step time 70.0559; mutant: etime 71.4456; index 1
mutant: step time 70.1118; mutant: etime 71.5149; index 2
mutant: step time 70.1864; mutant: etime 71.7228; index 3
mutant: step time 70.1631; mutant: etime 72; index 4
mutant: step time 70.1864; mutant: etime 71.9134; index 5
mutant: step time 70.2237; mutant: etime 71.307; index 0
mutant: step time 70.2423; mutant: etime 71.4456; index 1
mutant: step time 70.2982; mutant: etime 71.5149; index 2
mutant: step time 70.3727; mutant: etime 71.7228; index 3
mutant: step time 70.3495; mutant: etime 72; index 4
mutant: step time 70.3727; mutant: etime 71.9134; index 5
mutant: step time 70.41; mutant: etime 71.307; index 0
mutant: step time 70.4287; mutant: etime 71.4456; index 1
mutant: step time 70.4846; mutant: etime 71.5149; index 2
mutant: step time 70.5591; mutant: etime 71.7228; index 3
mutant: step time 70.5358; mutant: etime 72; index 4
mutant: step time 70.5591; mutant: etime 71.9134; index 5
mutant: step time 70.5964; mutant: etime 71.307; index 0
mutant: step time 70.615; mutant: etime 71.4456; index 1
mutant: step time 70.6709; mutant: etime 71.5149; index 2
mutant: step time 70.7455; mutant: etime 71.7228; index 3
mutant: step time 70.7222; mutant: etime 72; index 4
mutant: step time 70.7455; mutant: etime 71.9134; index 5
mutant: step time 70.7828; mutant: etime 71.307; index 0
mutant: step time 70.8014; mutant: etime 71.4456; index 1
mutant: step time 70.8573; mutant: etime 71.5149; index 2
mutant: step time 70.9319; mutant: etime 71.7228; index 3
mutant: step time 70.9086; mutant: etime 72; index 4
mutant: step time 70.9319; mutant: etime 71.9134; index 5
mutant: step time 70.9691; mutant: etime 71.307; index 0
mutant: step time 70.9878; mutant: etime 71.4456; index 1
mutant: step time 71.0437; mutant: etime 71.5149; index 2
mutant: step time 71.1182; mutant: etime 71.7228; index 3
mutant: step time 71.0949; mutant: etime 72; index 4
mutant: step time 71.1182; mutant: etime 71.9134; index 5
mutant: step time 71.1555; mutant: etime 71.307; index 0
mutant: step time 71.1742; mutant: etime 71.4456; index 1
mutant: step time 71.2301; mutant: etime 71.5149; index 2
mutant: step time 71.3046; mutant: etime 71.7228; index 3
mutant: step time 71.2813; mutant: etime 72; index 4
mutant: step time 71.3046; mutant: etime 71.9134; index 5
mutant: step time 71.3419; mutant: etime 71.307; index 0
mutant: step time 71.3605; mutant: etime 71.4456; index 1
mutant: step time 71.4164; mutant: etime 71.5149; index 2
mutant: step time 71.491; mutant: etime 71.7228; index 3
mutant: step time 71.4677; mutant: etime 72; index 4
mutant: step time 71.491; mutant: etime 71.9134; index 5
mutant: step time 71.5283; mutant: etime 71.307; index 0
mutant: step time 71.5469; mutant: etime 71.4456; index 1
mutant: step time 71.6028; mutant: etime 71.5149; index 2
mutant: step time 71.6774; mutant: etime 71.7228; index 3
mutant: step time 71.6541; mutant: etime 72; index 4
mutant: step time 71.6774; mutant: etime 71.9134; index 5
mutant: step time 71.7146; mutant: etime 71.307; index 0
mutant: step time 71.7333; mutant: etime 71.4456; index 1
mutant: step time 71.7892; mutant: etime 71.5149; index 2
mutant: step time 71.8637; mutant: etime 71.7228; index 3
mutant: step time 71.8404; mutant: etime 72; index 4
mutant: step time 71.8637; mutant: etime 71.9134; index 5
mutant: step time 71.891; mutant: etime 71.307; index 0
mutant: step time 71.9046; mutant: etime 71.4456; index 1
mutant: step time 71.9455; mutant: etime 71.5149; index 2
mutant: step time 72; mutant: etime 71.7228; index 3
mutant: step time 71.983; mutant: etime 72; index 4
mutant: step time 72; mutant: etime 71.9134; index 5
mutant: step time 72.0373; mutant: etime 73.307; index 0
mutant: step time 72.0559; mutant: etime 73.4456; index 1
mutant: step time 72.1118; mutant: etime 73.5149; index 2
mutant: step time 72.1864; mutant: etime 73.7228; index 3
mutant: step time 72.1631; mutant: etime 74; index 4
mutant: step time 72.1864; mutant: etime 73.9134; index 5
mutant: step time 72.031; mutant: etime 73.307; index 0
mutant: step time 72.0465; mutant: etime 73.4456; index 1
mutant: step time 72.093; mutant: etime 73.5149; index 2
mutant: step time 72.1551; mutant: etime 73.7228; index 3
mutant: step time 72.1357; mutant: etime 74; index 4
mutant: step time 72.1551; mutant: etime 73.9134; index 5
mutant: step time 72.0268; mutant: etime 73.307; index 0
mutant: step time 72.0401; mutant: etime 73.4456; index 1
mutant: step time 72.0803; mutant: etime 73.5149; index 2
mutant: step time 72.1338; mutant: etime 73.7228; index 3
mutant: step time 72.117; mutant: etime 74; index 4
mutant: step time 72.1338; mutant: etime 73.9134; index 5
mutant: step time 72.1605; mutant: etime 73.307; index 0
mutant: step time 72.1739; mutant: etime 73.4456; index 1
mutant: step time 72.214; mutant: etime 73.5149; index 2
mutant: step time 72.2675; mutant: etime 73.7228; index 3
mutant: step time 72.2508; mutant: etime 74; index 4
mutant: step time 72.2675; mutant: etime 73.9134; index 5
mutant: step time 72.2943; mutant: etime 73.307; index 0
mutant: step time 72.3077; mutant: etime 73.4456; index 1
mutant: step time 72.3478; mutant: etime 73.5149; index 2
mutant: step time 72.4013; mutant: etime 73.7228; index 3
mutant: step time 72.3846; mutant: etime 74; index 4
mutant: step time 72.4013; mutant: etime 73.9134; index 5
mutant: step time 72.428; mutant: etime 73.307; index 0
mutant: step time 72.4414; mutant: etime 73.4456; index 1
mutant: step time 72.4815; mutant: etime 73.5149; index 2
mutant: step time 72.535; mutant: etime 73.7228; index 3
mutant: step time 72.5183; mutant: etime 74; index 4
mutant: step time 72.535; mutant: etime 73.9134; index 5
mutant: step time 72.5618; mutant: etime 73.307; index 0
mutant: step time 72.5752; mutant: etime 73.4456; index 1
mutant: step time 72.6153; mutant: etime 73.5149; index 2
mutant: step time 72.6688; mutant: etime 73.7228; index 3
mutant: step time 72.6521; mutant: etime 74; index 4
mutant: step time 72.6688; mutant: etime 73.9134; index 5
mutant: step time 72.6956; mutant: etime 73.307; index 0
mutant: step time 72.7089; mutant: etime 73.4456; index 1
mutant: step time 72.7491; mutant: etime 73.5149; index 2
mutant: step time 72.8026; mutant: etime 73.7228; index 3
mutant: step time 72.7858; mutant: etime 74; index 4
mutant: step time 72.8026; mutant: etime 73.9134; index 5
mutant: step time 72.8293; mutant: etime 73.307; index 0
mutant: step time 72.8427; mutant: etime 73.4456; index 1
mutant: step time 72.8828; mutant: etime 73.5149; index 2
mutant: step time 72.9363; mutant: etime 73.7228; index 3
mutant: step time 72.9196; mutant: etime 74; index 4
mutant: step time 72.9363; mutant: etime 73.9134; index 5
mutant: step time 72.9631; mutant: etime 73.307; index 0
mutant: step time 72.9765; mutant: etime 73.4456; index 1
mutant: step time 73.0166; mutant: etime 73.5149; index 2
mutant: step time 73.0701; mutant: etime 73.7228; index 3
mutant: step time 73.0534; mutant: etime 74; index 4
mutant: step time 73.0701; mutant: etime 73.9134; index 5
mutant: step time 73.0968; mutant: etime 73.307; index 0
mutant: step time 73.1102; mutant: etime 73.4456; index 1
mutant: step time 73.1503; mutant: etime 73.5149; index 2
mutant: step time 73.2038; mutant: etime 73.7228; index 3
mutant: step time 73.1871; mutant: etime 74; index 4
mutant: step time 73.2038; mutant: etime 73.9134; index 5
mutant: step time 73.2306; mutant: etime 73.307; index 0
mutant: step time 73.244; mutant: etime 73.4456; index 1
mutant: step time 73.2841; mutant: etime 73.5149; index 2
mutant: step time 73.3376; mutant: etime 73.7228; index 3
mutant: step time 73.3209; mutant: etime 74; index 4
mutant: step time 73.3376; mutant: etime 73.9134; index 5
mutant: step time 73.3644; mutant: etime 73.307; index 0
mutant: step time 73.3777; mutant: etime 73.4456; index 1
mutant: step time 73.4179; mutant: etime 73.5149; index 2
mutant: step time 73.4714; mutant: etime 73.7228; index 3
mutant: step time 73.4547; mutant: etime 74; index 4
mutant: step time 73.4714; mutant: etime 73.9134; index 5
mutant: step time 73.4981; mutant: etime 73.307; index 0
mutant: step time 73.5115; mutant: etime 73.4456; index 1
mutant: step time 73.5516; mutant: etime 73.5149; index 2
mutant: step time 73.6051; mutant: etime 73.7228; index 3
mutant: step time 73.5884; mutant: etime 74; index 4
mutant: step time 73.6051; mutant: etime 73.9134; index 5
mutant: step time 73.6319; mutant: etime 73.307; index 0
mutant: step time 73.6453; mutant: etime 73.4456; index 1
mutant: step time 73.6854; mutant: etime 73.5149; index 2
mutant: step time 73.7389; mutant: etime 73.7228; index 3
mutant: step time 73.7222; mutant: etime 74; index 4
mutant: step time 73.7389; mutant: etime 73.9134; index 5
mutant: step time 73.7656; mutant: etime 73.307; index 0
mutant: step time 73.779; mutant: etime 73.4456; index 1
mutant: step time 73.8191; mutant: etime 73.5149; index 2
mutant: step time 73.8727; mutant: etime 73.7228; index 3
mutant: step time 73.8559; mutant: etime 74; index 4
mutant: step time 73.8727; mutant: etime 73.9134; index 5
mutant: step time 73.8981; mutant: etime 73.307; index 0
mutant: step time 73.9109; mutant: etime 73.4456; index 1
mutant: step time 73.9491; mutant: etime 73.5149; index 2
mutant: step time 74; mutant: etime 73.7228; index 3
mutant: step time 73.9841; mutant: etime 74; index 4
mutant: step time 74; mutant: etime 73.9134; index 5
mutant: step time 74.0268; mutant: etime 75.307; index 0
mutant: step time 74.0401; mutant: etime 75.4456; index 1
mutant: step time 74.0803; mutant: etime 75.5149; index 2
mutant: step time 74.1338; mutant: etime 75.7228; index 3
mutant: step time 74.117; mutant: etime 76; index 4
mutant: step time 74.1338; mutant: etime 75.9134; index 5
mutant: step time 74.1605; mutant: etime 75.307; index 0
mutant: step time 74.1739; mutant: etime 75.4456; index 1
mutant: step time 74.214; mutant: etime 75.5149; index 2
mutant: step time 74.2675; mutant: etime 75.7228; index 3
mutant: step time 74.2508; mutant: etime 76; index 4
mutant: step time 74.2675; mutant: etime 75.9134; index 5
mutant: step time 74.2943; mutant: etime 75.307; index 0
mutant: step time 74.3077; mutant: etime 75.4456; index 1
mutant: step time 74.3478; mutant: etime 75.5149; index 2
mutant: step time 74.4013; mutant: etime 75.7228; index 3
mutant: step time 74.3846; mutant: etime 76; index 4
mutant: step time 74.4013; mutant: etime 75.9134; index 5
mutant: step time 74.4283; mutant: etime 75.307; index 0
mutant: step time 74.4418; mutant: etime 75.4456; index 1
