
resident: step time 0.0109412; resident: etime 0.0103553
resident: step time 0.0117225; resident: etime 0.0109412
resident: step time 0.0114783; resident: etime 0.0117225
resident: step time 0.0117225; resident: etime 0.0114783
resident: step time 0.0121131; resident: etime 0.0117225
resident: step time 0.0123084; resident: etime 0.0121131
resident: step time 0.0128943; resident: etime 0.0123084
resident: step time 0.0136756; resident: etime 0.0128943
resident: step time 0.0134314; resident: etime 0.0136756
resident: step time 0.0136756; resident: etime 0.0134314
resident: step time 0.0140662; resident: etime 0.0136756
resident: step time 0.0142615; resident: etime 0.0140662
resident: step time 0.0148475; resident: etime 0.0142615
resident: step time 0.0156287; resident: etime 0.0148475
resident: step time 0.0153846; resident: etime 0.0156287
resident: step time 0.0156287; resident: etime 0.0153846
resident: step time 0.0160193; resident: etime 0.0156287
resident: step time 0.0162146; resident: etime 0.0160193
resident: step time 0.0168006; resident: etime 0.0162146
resident: step time 0.0175818; resident: etime 0.0168006
resident: step time 0.0173377; resident: etime 0.0175818
resident: step time 0.0175818; resident: etime 0.0173377
resident: step time 0.0179725; resident: etime 0.0175818
resident: step time 0.0181678; resident: etime 0.0179725
resident: step time 0.0187537; resident: etime 0.0181678
resident: step time 0.019535; resident: etime 0.0187537
resident: step time 0.0192908; resident: etime 0.019535
resident: step time 0.019535; resident: etime 0.0192908
resident: step time 0.02016; resident: etime 0.019535
resident: step time 0.0204725; resident: etime 0.02016
resident: step time 0.02141; resident: etime 0.0204725
resident: step time 0.02266; resident: etime 0.02141
resident: step time 0.0222693; resident: etime 0.02266
resident: step time 0.02266; resident: etime 0.0222693
resident: step time 0.0228162; resident: etime 0.02266
resident: step time 0.0228943; resident: etime 0.0228162
resident: step time 0.0231287; resident: etime 0.0228943
resident: step time 0.0234412; resident: etime 0.0231287
resident: step time 0.0233435; resident: etime 0.0234412
resident: step time 0.0234412; resident: etime 0.0233435
resident: step time 0.0242225; resident: etime 0.0234412
resident: step time 0.0246131; resident: etime 0.0242225
resident: step time 0.025785; resident: etime 0.0246131
resident: step time 0.0273475; resident: etime 0.025785
resident: step time 0.0268592; resident: etime 0.0273475
resident: step time 0.0273475; resident: etime 0.0268592
resident: step time 0.0281287; resident: etime 0.0273475
resident: step time 0.0285193; resident: etime 0.0281287
resident: step time 0.0296912; resident: etime 0.0285193
resident: step time 0.0312537; resident: etime 0.0296912
resident: step time 0.0307654; resident: etime 0.0312537
resident: step time 0.0312537; resident: etime 0.0307654
resident: step time 0.032035; resident: etime 0.0312537
resident: step time 0.0324256; resident: etime 0.032035
resident: step time 0.0335975; resident: etime 0.0324256
resident: step time 0.03516; resident: etime 0.0335975
resident: step time 0.0346717; resident: etime 0.03516
resident: step time 0.03516; resident: etime 0.0346717
resident: step time 0.0359412; resident: etime 0.03516
resident: step time 0.0363318; resident: etime 0.0359412
resident: step time 0.0375037; resident: etime 0.0363318
resident: step time 0.0390662; resident: etime 0.0375037
resident: step time 0.0385779; resident: etime 0.0390662
resident: step time 0.0390662; resident: etime 0.0385779
resident: step time 0.0406287; resident: etime 0.0390662
resident: step time 0.04141; resident: etime 0.0406287
resident: step time 0.0437537; resident: etime 0.04141
resident: step time 0.0468787; resident: etime 0.0437537
resident: step time 0.0459021; resident: etime 0.0468787
resident: step time 0.0468787; resident: etime 0.0459021
resident: step time 0.0484412; resident: etime 0.0468787
resident: step time 0.0492225; resident: etime 0.0484412
resident: step time 0.0515662; resident: etime 0.0492225
resident: step time 0.0546912; resident: etime 0.0515662
resident: step time 0.0537146; resident: etime 0.0546912
resident: step time 0.0546912; resident: etime 0.0537146
resident: step time 0.0562537; resident: etime 0.0546912
resident: step time 0.057035; resident: etime 0.0562537
resident: step time 0.0593787; resident: etime 0.057035
resident: step time 0.0625037; resident: etime 0.0593787
resident: step time 0.0615271; resident: etime 0.0625037
resident: step time 0.0625037; resident: etime 0.0615271
resident: step time 0.0640662; resident: etime 0.0625037
resident: step time 0.0648475; resident: etime 0.0640662
resident: step time 0.0671912; resident: etime 0.0648475
resident: step time 0.0703162; resident: etime 0.0671912
resident: step time 0.0693396; resident: etime 0.0703162
resident: step time 0.0703162; resident: etime 0.0693396
resident: step time 0.0718787; resident: etime 0.0703162
resident: step time 0.07266; resident: etime 0.0718787
resident: step time 0.0750037; resident: etime 0.07266
resident: step time 0.0781287; resident: etime 0.0750037
resident: step time 0.0771521; resident: etime 0.0781287
resident: step time 0.0781287; resident: etime 0.0771521
resident: step time 0.0812537; resident: etime 0.0781287
resident: step time 0.0828162; resident: etime 0.0812537
resident: step time 0.0875037; resident: etime 0.0828162
resident: step time 0.0937537; resident: etime 0.0875037
resident: step time 0.0918006; resident: etime 0.0937537
resident: step time 0.0937537; resident: etime 0.0918006
resident: step time 0.0968787; resident: etime 0.0937537
resident: step time 0.0984412; resident: etime 0.0968787
resident: step time 0.103129; resident: etime 0.0984412
resident: step time 0.109379; resident: etime 0.103129
resident: step time 0.107426; resident: etime 0.109379
resident: step time 0.109379; resident: etime 0.107426
resident: step time 0.112504; resident: etime 0.109379
resident: step time 0.114066; resident: etime 0.112504
resident: step time 0.118754; resident: etime 0.114066
resident: step time 0.125004; resident: etime 0.118754
resident: step time 0.123051; resident: etime 0.125004
resident: step time 0.125004; resident: etime 0.123051
resident: step time 0.128129; resident: etime 0.125004
resident: step time 0.129691; resident: etime 0.128129
resident: step time 0.134379; resident: etime 0.129691
resident: step time 0.140629; resident: etime 0.134379
resident: step time 0.138676; resident: etime 0.140629
resident: step time 0.140629; resident: etime 0.138676
resident: step time 0.143754; resident: etime 0.140629
resident: step time 0.145316; resident: etime 0.143754
resident: step time 0.150004; resident: etime 0.145316
resident: step time 0.156254; resident: etime 0.150004
resident: step time 0.154301; resident: etime 0.156254
resident: step time 0.156254; resident: etime 0.154301
resident: step time 0.162504; resident: etime 0.156254
resident: step time 0.165629; resident: etime 0.162504
resident: step time 0.175004; resident: etime 0.165629
resident: step time 0.187504; resident: etime 0.175004
resident: step time 0.183597; resident: etime 0.187504
resident: step time 0.187504; resident: etime 0.183597
resident: step time 0.193754; resident: etime 0.187504
resident: step time 0.196879; resident: etime 0.193754
resident: step time 0.206254; resident: etime 0.196879
resident: step time 0.218754; resident: etime 0.206254
resident: step time 0.214847; resident: etime 0.218754
resident: step time 0.218754; resident: etime 0.214847
resident: step time 0.225004; resident: etime 0.218754
resident: step time 0.228129; resident: etime 0.225004
resident: step time 0.237504; resident: etime 0.228129
resident: step time 0.250004; resident: etime 0.237504
resident: step time 0.246097; resident: etime 0.250004
resident: step time 0.250004; resident: etime 0.246097
resident: step time 0.256254; resident: etime 0.250004
resident: step time 0.259379; resident: etime 0.256254
resident: step time 0.268754; resident: etime 0.259379
resident: step time 0.281254; resident: etime 0.268754
resident: step time 0.277347; resident: etime 0.281254
resident: step time 0.281254; resident: etime 0.277347
resident: step time 0.287504; resident: etime 0.281254
resident: step time 0.290629; resident: etime 0.287504
resident: step time 0.300004; resident: etime 0.290629
resident: step time 0.312504; resident: etime 0.300004
resident: step time 0.308597; resident: etime 0.312504
resident: step time 0.312504; resident: etime 0.308597
resident: step time 0.325004; resident: etime 0.312504
resident: step time 0.331254; resident: etime 0.325004
resident: step time 0.350004; resident: etime 0.331254
resident: step time 0.375004; resident: etime 0.350004
resident: step time 0.367191; resident: etime 0.375004
resident: step time 0.375004; resident: etime 0.367191
resident: step time 0.387504; resident: etime 0.375004
resident: step time 0.393754; resident: etime 0.387504
resident: step time 0.412504; resident: etime 0.393754
resident: step time 0.437504; resident: etime 0.412504
resident: step time 0.429691; resident: etime 0.437504
resident: step time 0.437504; resident: etime 0.429691
resident: step time 0.450004; resident: etime 0.437504
resident: step time 0.456254; resident: etime 0.450004
resident: step time 0.475004; resident: etime 0.456254
resident: step time 0.500004; resident: etime 0.475004
resident: step time 0.492191; resident: etime 0.500004
resident: step time 0.500004; resident: etime 0.492191
resident: step time 0.512504; resident: etime 0.500004
resident: step time 0.518754; resident: etime 0.512504
resident: step time 0.537504; resident: etime 0.518754
resident: step time 0.562504; resident: etime 0.537504
resident: step time 0.554691; resident: etime 0.562504
resident: step time 0.562504; resident: etime 0.554691
resident: step time 0.575004; resident: etime 0.562504
resident: step time 0.581254; resident: etime 0.575004
resident: step time 0.600004; resident: etime 0.581254
resident: step time 0.625004; resident: etime 0.600004
resident: step time 0.617191; resident: etime 0.625004
resident: step time 0.625004; resident: etime 0.617191
resident: step time 0.640629; resident: etime 0.625004
resident: step time 0.648441; resident: etime 0.640629
resident: step time 0.671879; resident: etime 0.648441
resident: step time 0.703129; resident: etime 0.671879
resident: step time 0.693363; resident: etime 0.703129
resident: step time 0.703129; resident: etime 0.693363
resident: step time 0.712504; resident: etime 0.703129
resident: step time 0.717191; resident: etime 0.712504
resident: step time 0.731254; resident: etime 0.717191
resident: step time 0.750004; resident: etime 0.731254
resident: step time 0.744144; resident: etime 0.750004
resident: step time 0.750004; resident: etime 0.744144
resident: step time 0.775004; resident: etime 0.750004
resident: step time 0.787504; resident: etime 0.775004
resident: step time 0.825004; resident: etime 0.787504
resident: step time 0.875004; resident: etime 0.825004
resident: step time 0.859379; resident: etime 0.875004
resident: step time 0.875004; resident: etime 0.859379
resident: step time 0.900004; resident: etime 0.875004
resident: step time 0.912504; resident: etime 0.900004
resident: step time 0.950004; resident: etime 0.912504
resident: step time 1; resident: etime 0.950004
resident: step time 0.984379; resident: etime 1
resident: step time 1; resident: etime 0.984379
resident: step time 1.025; resident: etime 1
resident: step time 1.0375; resident: etime 1.025
resident: step time 1.075; resident: etime 1.0375
resident: step time 1.125; resident: etime 1.075
resident: step time 1.10938; resident: etime 1.125
resident: step time 1.125; resident: etime 1.10938
resident: step time 1.15; resident: etime 1.125
resident: step time 1.1625; resident: etime 1.15
resident: step time 1.2; resident: etime 1.1625
resident: step time 1.25; resident: etime 1.2
resident: step time 1.23438; resident: etime 1.25
resident: step time 1.25; resident: etime 1.23438
resident: step time 1.3; resident: etime 1.25
resident: step time 1.325; resident: etime 1.3
resident: step time 1.4; resident: etime 1.325
resident: step time 1.5; resident: etime 1.4
resident: step time 1.46875; resident: etime 1.5
resident: step time 1.5; resident: etime 1.46875
