"setting","lma","gradient"
"PPA smoothed (daily)",0.07,3052.93501955789
"PPA smoothed (daily)",0.0741666666666667,2840.07251948985
"PPA smoothed (daily)",0.0783333333333333,2511.11720110848
"PPA smoothed (daily)",0.0825,1082.98357597273
"PPA smoothed (daily)",0.0866666666666667,-140.654516326758
"PPA smoothed (daily)",0.0908333333333333,-2352.21328357848
"PPA smoothed (daily)",0.095,-3583.98796209954
"PPA smoothed (daily)",0.0991666666666667,-3822.42685430588
"PPA smoothed (daily)",0.103333333333333,-3991.72883065081
"PPA smoothed (daily)",0.1075,-4125.28745684875
"PPA smoothed (daily)",0.111666666666667,-2685.24086068815
"PPA smoothed (daily)",0.115833333333333,-3080.90776021903
"PPA smoothed (daily)",0.12,-4789.16765663269
"PPA hard step (daily)",0.07,3819.06534405627
"PPA hard step (daily)",0.0741666666666667,5114.53519840693
"PPA hard step (daily)",0.0783333333333333,-6305.50832847395
"PPA hard step (daily)",0.0825,-2073.11054267958
"PPA hard step (daily)",0.0866666666666667,-1280.53739469447
"PPA hard step (daily)",0.0908333333333333,-4856.05322585594
"PPA hard step (daily)",0.095,-9224.20971383956
"PPA hard step (daily)",0.0991666666666667,-8963.86222852745
"PPA hard step (daily)",0.103333333333333,18.7165657104291
"PPA hard step (daily)",0.1075,51.6498902399715
"PPA hard step (daily)",0.111666666666667,9.65890895530208
"PPA hard step (daily)",0.115833333333333,-8310.57142638907
"PPA hard step (daily)",0.12,7.64333492348494
"PPA hard step (half-daily)",0.07,39.7923191159887
"PPA hard step (half-daily)",0.0741666666666667,76.5023949694275
"PPA hard step (half-daily)",0.0783333333333333,7104.15835762964
"PPA hard step (half-daily)",0.0825,37.6192364587927
"PPA hard step (half-daily)",0.0866666666666667,-2156.19692960149
"PPA hard step (half-daily)",0.0908333333333333,-1554.51393669263
"PPA hard step (half-daily)",0.095,290.07863554706
"PPA hard step (half-daily)",0.0991666666666667,13.968564462741
"PPA hard step (half-daily)",0.103333333333333,125.673315404946
"PPA hard step (half-daily)",0.1075,50.385072447152
"PPA hard step (half-daily)",0.111666666666667,813.238477471102
"PPA hard step (half-daily)",0.115833333333333,-1430.74428106805
"PPA hard step (half-daily)",0.12,-1805.54702477957
