"smoothing","steps_per_year","offspring","variant"
0,46,0.00867498109512965,"PPA hard step (s=0)"
0,91,0.013783173920639,"PPA hard step (s=0)"
0,182,0.00676893237206772,"PPA hard step (s=0)"
0,365,0.00949589575177214,"PPA hard step (s=0)"
0,730,0.0371733464565159,"PPA hard step (s=0)"
0,1460,0.0659359977685203,"PPA hard step (s=0)"
0.3,46,25.4108511551307,"PPA smoothed (s=0.3)"
0.3,91,25.3557910979638,"PPA smoothed (s=0.3)"
0.3,182,25.3210035229679,"PPA smoothed (s=0.3)"
0.3,365,25.2968083962062,"PPA smoothed (s=0.3)"
0.3,730,25.2828927371748,"PPA smoothed (s=0.3)"
0.3,1460,25.2748331905035,"PPA smoothed (s=0.3)"
