"PAR","Tair","Tleaf_op","N","A_off","A_on","relA_pct"
1000,25,30.3229207472147,0.999535797753852,15.2585918735765,15.2559472248634,-0.0173321937894007
2000,25,47.0039861432045,0.236479552285333,0.452325591510868,0.0113326820378812,NA
1000,32,42.2247439309323,0.432833745563759,1.77610060216053,0.855225121756919,-51.8481599118551
2000,32,54.011257114695,0.0257975319686767,0.0255709154075318,-0.125908632341734,NA
1000,38,48.4785158303465,0.166103051530685,0.278328965849125,-0.298038670733904,NA
2000,38,60.011257114695,0.0024554973813557,-0.0501777907790573,-0.0501777907790573,NA
1000,42,52.4785158303465,0.04563364243576,0.058372824826556,-0.159800892243577,NA
2000,42,64.011257114695,0.000497707125234968,-0.0275884269914967,-0.0275884269914967,NA
1000,46,56.4785158303465,0.00993709396699954,0.00017594587863641,-0.085996825138608,NA
2000,46,68.011257114695,0.000100565228966028,-0.0153702535485658,-0.0153702535485658,NA
