"PAR","Tleaf","N","A_off","A_on","relA_pct"
1000,25,0.99999773892256,17.6112614400598,17.6112448671974,-9.41037781973419e-05
2000,25,0.99999773892256,18.4498050232112,18.4497944045871,-5.75541262023641e-05
1000,30,0.999663931599606,15.4871819025248,15.4852215691435,-0.0126577797924436
2000,30,0.999663931599606,16.1364119474697,16.135243852342,-0.00723887770987468
1000,34,0.982118535632447,11.8146343882117,11.7439693052342,-0.59811485193358
2000,34,0.982118535632447,12.12575224239,12.0804314782836,-0.373756309715837
1000,36,0.890900352159227,6.6832212624983,6.36355665173339,-4.78309183864152
2000,36,0.890900352159227,6.82474718653377,6.57178697735686,-3.70651398891429
1000,38,0.65342179327672,4.25231481923678,3.40649424502612,-19.8908267653258
2000,38,0.65342179327672,4.28487516339803,3.52169333150393,-17.8110633983763
1000,40,0.5,2.68326389860514,1.67848421557813,-37.4461745469511
2000,40,0.5,2.69235798876715,1.71506535667383,-36.2987625037498
1000,42,0.439021907381469,1.65377452904712,0.888189553413505,-46.2931894394779
2000,42,0.439021907381469,1.65694279034674,0.902146417084619,-45.5535566864183
1000,44,0.375067046890013,0.987203057990032,0.40117574459933,NA
2000,44,0.375067046890013,0.988354710551484,0.405946400141168,NA
1000,46,0.286451771029539,0.567218936055499,0.0975116582153617,NA
2000,46,0.286451771029539,0.568003879107825,0.0986321400329175,NA
